width,height,x_shift,noise_level,laminar_thickness,laminar_gap,amplitude,thickness_variation
256,36,0.25,0.1,6,7,2,0.0
256,49,0.25,0.1,6,7,2,0.0
256,62,0.25,0.1,6,7,2,0.0
256,75,0.25,0.1,6,7,2,0.0
256,14,0.25,0.1,6,7,4,0.0
256,27,0.25,0.1,6,7,4,0.0
256,40,0.25,0.1,6,7,4,0.0
256,53,0.25,0.1,6,7,4,0.0
256,66,0.25,0.1,6,7,4,0.0
256,79,0.25,0.1,6,7,4,0.0
256,18,0.25,0.1,6,7,6,0.0
256,31,0.25,0.1,6,7,6,0.0
256,44,0.25,0.1,6,7,6,0.0
256,57,0.25,0.1,6,7,6,0.0
256,70,0.25,0.1,6,7,6,0.0
256,83,0.25,0.1,6,7,6,0.0
256,22,0.25,0.1,6,7,8,0.0
256,35,0.25,0.1,6,7,8,0.0
256,48,0.25,0.1,6,7,8,0.0
256,61,0.25,0.1,6,7,8,0.0
256,74,0.25,0.1,6,7,8,0.0
256,87,0.25,0.1,6,7,8,0.0
256,26,0.25,0.1,6,7,10,0.0
256,39,0.25,0.1,6,7,10,0.0
256,52,0.25,0.1,6,7,10,0.0
256,65,0.25,0.1,6,7,10,0.0
256,78,0.25,0.1,6,7,10,0.0
256,91,0.25,0.1,6,7,10,0.0
256,30,0.25,0.1,6,7,12,0.0
256,43,0.25,0.1,6,7,12,0.0
256,56,0.25,0.1,6,7,12,0.0
256,69,0.25,0.1,6,7,12,0.0
256,82,0.25,0.1,6,7,12,0.0
256,95,0.25,0.1,6,7,12,0.0
256,34,0.25,0.1,6,7,14,0.0
256,47,0.25,0.1,6,7,14,0.0
256,60,0.25,0.1,6,7,14,0.0
256,73,0.25,0.1,6,7,14,0.0
